count	type	name	props	nodeId
1	CMP	icon/upload		359:44615
1	CMP	icon/view_all		393:620
1	CMP	icon/view-mode		2087:86508
1	CMP	icon/visibility		393:645
1	CMP	icon/visibility_off		393:679
1	CMP	icon/X_twitter		2365:45207
1	CMP	icon/youtube		2365:45206
1	CMP	icon/token_palette		3364:143875
1	CMP	icon/token_padding		3512:25170
1	CMP	icon/token_gap		3512:25225
1	CMP	icon/token_typo		3512:25286
1	CMP	icon/token_radius		3516:25117
1	CMP	icon/token_typo_box		3517:25101
1	CMP	icon/figma_library		3862:69842
1	CMP	icon/figma_filter		3862:69843
1	CMP	icon/figma_open		3862:69845
1	CMP	icon/figma-mode		3866:59045
1	CMP	icon/figma_spread		3954:37721
1	CMP	icon/figma_blur		3959:37835
1	CMP	icon/figma_shadow		3975:26120
1	CMP	icon/figma_transparency		3975:26193
1	CMP	icon/copy		4021:24846
1	CMP	icon/component		4663:136708
1	CMP	icon/document_fill		4830:44543
1	CMP	icon/atomic		4830:45411
1	CMP	icon/elevation		5176:120701
1	CMP	icon/Plus		10091:24634
1	CMP	icon/Minus		10091:24633
1	CMP	icon/magaphone		9917:3856
1	CMP	icon/Check		10034:69757
1	CMP	icon/Arrow / Up_SM		10424:57942
1	CMP	icon/ Arrow / Right_SM		10424:57945
1	CMP	icon/ Arrow / Left_SM		10424:57947
1	CMP	icon/arrow-first		10577:62435
1	CMP	icon/arrow-end		10577:62434
0	SET	bottom Tab	Property 1(2)	10528:5573
0	SET	bottom Tab-top	Property 1(2)	10528:49904
0	CMP	related_site_open		1176:66448
0	SET	footer_relatedsite_box__atomic	Label:T State(3)	337:34843
0	SET	footer_relatedsite_box__atomic	Icon:B Label:T state(4)	1046:15852
0	SET	footer_copyright__atomic	Type(2)	337:34853
0	SET	social	name(7)	337:34801
0	CMP	footer_copyright__atomic__mo		1548:41650
0	CMP	skip_link		343:54442
0	SET	main_menu_open_simple	Type(2) banner(3)	4638:159952
0	CMP	main_menu_header__mo	Search:B Menu:B	1446:85516
0	SET	main_menu_2depth_open__atomic__mo	State(2)	398:26645
0	CMP	main_menu_1depth_open__atomic__mo	Banner:B	398:27011
0	SET	breadcrumb__atomic	Home:T Depth:T Type(3) State(3)	340:31501
0	CMP	side_navigation_1depth_title		333:50252
0	SET	side_navigation_2depth__atomic	Icon:B Label:T state(5)	331:31035
0	SET	side_navigation_2depth_open__atomic	State(2)	398:26168
0	SET	side_navigation_3depth__atomic	Label:T State(3)	331:30943
0	SET	side_navigation_last_depth__atomic	Icon:B Label:T state(4)	333:32099
0	SET	in_page_navigation__atomic	Label:T State(4)	333:51836
